name,genre,time,year,country,lang,production bdget,domestic gross,world wide gross,rate,neto income
234,1.0,91.0,2014,66.0,21.0,145000000.0,111506430.0,269806430.0,7.5,124806430.0
235,1.0,97.0,2012,66.0,21.0,145000000.0,103412760.0,306900900.0,8.0,161900900.0
236,1.0,124.0,2005,25.0,5.0,145000000.0,68671930.0,121645390.0,8.5,-23354610.0
237,3.0,117.0,2016,66.0,21.0,144000000.0,128350580.0,229008660.0,8.8,85008660.0
238,0.0,133.0,2002,65.0,21.0,142000000.0,160942140.0,431942140.0,4.1,289942140.0
239,1.0,144.0,2003,66.0,21.0,140000000.0,305410800.0,654310850.0,6.2,514310850.0
240,1.0,125.0,2009,66.0,21.0,140000000.0,257730020.0,386839600.0,9.1,246839600.0
241,1.0,150.0,1998,66.0,21.0,140000000.0,201578180.0,554600000.0,7.3,414600000.0
242,0.0,86.0,2002,66.0,21.0,140000000.0,190418800.0,441767800.0,7.5,301767800.0
243,0.0,124.0,2011,66.0,21.0,140000000.0,176654510.0,370569800.0,7.5,230569800.0
244,1.0,94.0,2016,66.0,21.0,140000000.0,143528620.0,521170800.0,7.8,381170800.0
245,0.0,127.0,1998,66.0,21.0,140000000.0,130444600.0,285400000.0,6.4,145400000.0
246,0.0,110.0,2013,66.0,21.0,140000000.0,122523060.0,375740700.0,8.6,235740700.0
247,0.0,154.0,2003,66.0,21.0,140000000.0,111110580.0,456810560.0,7.6,316810560.0
248,3.0,90.0,2005,66.0,21.0,140000000.0,110550000.0,203018910.0,4.9,63018910.0
249,6.0,150.0,2014,66.0,21.0,140000000.0,65014510.0,268314510.0,3.5,128314510.0
250,1.0,115.0,2016,66.0,21.0,140000000.0,55483770.0,199646690.0,6.4,59646690.0
251,0.0,116.0,2019,66.0,21.0,140000000.0,48546770.0,166623710.0,9.0,26623710.0
252,1.0,127.0,2016,66.0,21.0,140000000.0,31153464.0,138836750.0,3.7,-1163250.0
253,1.0,121.0,2002,66.0,21.0,139000000.0,403706370.0,821706400.0,6.2,682706400.0
254,0.0,161.0,2009,66.0,21.0,138000000.0,107509800.0,186976260.0,7.1,48976260.0
255,0.0,121.0,2005,66.0,21.0,138000000.0,32116746.0,76416744.0,5.6,-61583256.0
256,1.0,112.0,2008,66.0,21.0,137500000.0,134806910.0,265573860.0,7.0,128073860.0
257,0.0,138.0,2003,66.0,21.0,137000000.0,132177230.0,245031680.0,2.9,108031680.0
258,1.0,106.0,2001,66.0,21.0,137000000.0,32131830.0,85131830.0,4.8,-51868170.0
259,6.0,115.0,2012,66.0,21.0,136200000.0,292324740.0,829724740.0,9.5,693524740.0
260,1.0,98.0,2013,66.0,21.0,135000000.0,187168430.0,573068400.0,7.7,438068400.0
261,1.0,156.0,2015,66.0,21.0,135000000.0,183637890.0,532938300.0,7.0,397938300.0
262,0.0,128.0,1999,65.0,21.0,135000000.0,126930660.0,361730660.0,7.7,226730660.0
263,1.0,107.0,2011,66.0,21.0,135000000.0,123477610.0,245724600.0,6.9,110724600.0
264,1.0,139.0,2003,66.0,21.0,135000000.0,93926380.0,212912140.0,8.0,77912140.0
265,1.0,96.0,2013,66.0,21.0,135000000.0,83028130.0,286896580.0,7.1,151896580.0
266,1.0,112.0,2016,66.0,21.0,135000000.0,82051600.0,245328370.0,4.6,110328370.0
267,1.0,99.0,2011,2.0,21.0,135000000.0,64006464.0,157956460.0,6.0,22956460.0
268,0.0,132.0,2006,25.0,21.0,135000000.0,63478840.0,164920080.0,4.3,29920080.0
269,1.0,99.0,2018,66.0,21.0,132900000.0,54858852.0,170024300.0,3.4,37124300.0
270,0.0,116.0,2005,66.0,21.0,132000000.0,234280350.0,606836540.0,4.2,474836540.0
271,1.0,92.0,2014,66.0,21.0,132000000.0,83350910.0,366942530.0,6.3,234942530.0
272,1.0,146.0,2013,66.0,21.0,130000000.0,424668030.0,864868030.0,8.9,734868030.0
273,1.0,141.0,2004,65.0,21.0,130000000.0,249757730.0,789592700.0,8.6,659592700.0
274,11.0,113.0,2007,66.0,21.0,130000000.0,227471070.0,444043400.0,6.3,314043400.0
275,0.0,118.0,2018,66.0,21.0,130000000.0,216648740.0,623144640.0,8.7,493144640.0
276,1.0,91.0,2008,66.0,21.0,130000000.0,215434600.0,631910500.0,8.3,501910500.0
277,0.0,117.0,2015,66.0,21.0,130000000.0,180202160.0,518858460.0,8.8,388858460.0
278,1.0,94.0,2015,66.0,21.0,130000000.0,177397500.0,385997900.0,6.0,255997900.0
279,9.0,130.0,2018,66.0,21.0,130000000.0,171958430.0,348901020.0,6.5,218901020.0
280,1.0,90.0,2011,66.0,21.0,130000000.0,149260510.0,554987460.0,7.9,424987460.0
